date,running_total
Sun Feb 07 2016 23:35:28 GMT-0800 (PST),383
Sun Feb 07 2016 23:35:36 GMT-0800 (PST),384
Sun Feb 07 2016 23:48:28 GMT-0800 (PST),385
Mon Feb 08 2016 00:01:16 GMT-0800 (PST),386
Mon Feb 08 2016 00:39:25 GMT-0800 (PST),387
Mon Feb 08 2016 06:11:46 GMT-0800 (PST),388
Mon Feb 08 2016 08:51:20 GMT-0800 (PST),389
Mon Feb 08 2016 09:17:31 GMT-0800 (PST),390
Mon Feb 08 2016 09:42:37 GMT-0800 (PST),391
Mon Feb 08 2016 09:42:38 GMT-0800 (PST),392
Mon Feb 08 2016 09:42:38 GMT-0800 (PST),393
Mon Feb 08 2016 09:42:39 GMT-0800 (PST),394
Mon Feb 08 2016 09:42:40 GMT-0800 (PST),395
Mon Feb 08 2016 09:42:41 GMT-0800 (PST),396
Mon Feb 08 2016 09:42:42 GMT-0800 (PST),397
Mon Feb 08 2016 09:42:44 GMT-0800 (PST),398
Mon Feb 08 2016 09:42:44 GMT-0800 (PST),399
Mon Feb 08 2016 09:42:45 GMT-0800 (PST),400
Mon Feb 08 2016 09:42:46 GMT-0800 (PST),401
Mon Feb 08 2016 09:42:47 GMT-0800 (PST),402
Mon Feb 08 2016 09:42:47 GMT-0800 (PST),403
Mon Feb 08 2016 09:42:48 GMT-0800 (PST),404
Mon Feb 08 2016 09:42:49 GMT-0800 (PST),405
Mon Feb 08 2016 09:42:53 GMT-0800 (PST),406
Mon Feb 08 2016 09:42:54 GMT-0800 (PST),407
Mon Feb 08 2016 09:42:55 GMT-0800 (PST),408
Mon Feb 08 2016 09:42:57 GMT-0800 (PST),409
Mon Feb 08 2016 09:44:25 GMT-0800 (PST),412
Mon Feb 08 2016 09:47:53 GMT-0800 (PST),415
Mon Feb 08 2016 09:49:49 GMT-0800 (PST),416
Mon Feb 08 2016 09:49:49 GMT-0800 (PST),419
Mon Feb 08 2016 10:25:20 GMT-0800 (PST),420
Mon Feb 08 2016 15:26:09 GMT-0800 (PST),421
Mon Feb 08 2016 15:27:30 GMT-0800 (PST),422
Mon Feb 08 2016 16:47:11 GMT-0800 (PST),423
Mon Feb 08 2016 18:23:23 GMT-0800 (PST),424
Mon Feb 08 2016 18:24:04 GMT-0800 (PST),425
Mon Feb 08 2016 18:25:09 GMT-0800 (PST),426
Mon Feb 08 2016 18:49:09 GMT-0800 (PST),427
Mon Feb 08 2016 20:48:03 GMT-0800 (PST),428
Mon Feb 08 2016 20:51:07 GMT-0800 (PST),429
Mon Feb 08 2016 21:12:38 GMT-0800 (PST),430
Mon Feb 08 2016 21:12:39 GMT-0800 (PST),431
Mon Feb 08 2016 21:12:41 GMT-0800 (PST),432
Mon Feb 08 2016 21:12:42 GMT-0800 (PST),433
Mon Feb 08 2016 21:12:44 GMT-0800 (PST),434
Mon Feb 08 2016 23:07:52 GMT-0800 (PST),435
Mon Feb 08 2016 23:54:57 GMT-0800 (PST),436
Tue Feb 09 2016 00:34:25 GMT-0800 (PST),437
Tue Feb 09 2016 01:08:50 GMT-0800 (PST),438
Tue Feb 09 2016 01:09:49 GMT-0800 (PST),439
Tue Feb 09 2016 09:06:05 GMT-0800 (PST),440
Tue Feb 09 2016 09:13:42 GMT-0800 (PST),441
Tue Feb 09 2016 09:21:42 GMT-0800 (PST),442
Tue Feb 09 2016 09:36:18 GMT-0800 (PST),443
Tue Feb 09 2016 09:39:41 GMT-0800 (PST),444
Tue Feb 09 2016 10:18:19 GMT-0800 (PST),445
Tue Feb 09 2016 10:22:11 GMT-0800 (PST),446
Tue Feb 09 2016 10:23:51 GMT-0800 (PST),447
Tue Feb 09 2016 10:26:12 GMT-0800 (PST),448
Tue Feb 09 2016 11:24:00 GMT-0800 (PST),449
Tue Feb 09 2016 11:24:01 GMT-0800 (PST),450
Tue Feb 09 2016 11:24:02 GMT-0800 (PST),451
Tue Feb 09 2016 11:24:03 GMT-0800 (PST),452
Tue Feb 09 2016 11:24:06 GMT-0800 (PST),453
Tue Feb 09 2016 11:24:07 GMT-0800 (PST),454
Tue Feb 09 2016 11:24:08 GMT-0800 (PST),455
Tue Feb 09 2016 11:24:09 GMT-0800 (PST),456
Tue Feb 09 2016 11:24:10 GMT-0800 (PST),457
Tue Feb 09 2016 11:24:11 GMT-0800 (PST),458
Tue Feb 09 2016 11:24:13 GMT-0800 (PST),459
Tue Feb 09 2016 11:24:14 GMT-0800 (PST),460
Tue Feb 09 2016 11:24:16 GMT-0800 (PST),461
Tue Feb 09 2016 11:24:19 GMT-0800 (PST),462
Tue Feb 09 2016 11:24:20 GMT-0800 (PST),463
Tue Feb 09 2016 11:50:57 GMT-0800 (PST),464
Tue Feb 09 2016 11:51:01 GMT-0800 (PST),465
Tue Feb 09 2016 12:18:54 GMT-0800 (PST),466
Tue Feb 09 2016 19:58:18 GMT-0800 (PST),469
Tue Feb 09 2016 20:00:48 GMT-0800 (PST),472
Wed Feb 10 2016 16:35:59 GMT-0800 (PST),473
Wed Feb 10 2016 16:35:59 GMT-0800 (PST),476
Wed Feb 10 2016 16:39:22 GMT-0800 (PST),477
Wed Feb 10 2016 16:39:22 GMT-0800 (PST),480
Wed Feb 10 2016 16:42:09 GMT-0800 (PST),481
Wed Feb 10 2016 16:42:09 GMT-0800 (PST),484
Thu Feb 11 2016 01:08:42 GMT-0800 (PST),485
Thu Feb 11 2016 09:28:05 GMT-0800 (PST),486
Thu Feb 11 2016 10:48:34 GMT-0800 (PST),487
Thu Feb 11 2016 23:43:20 GMT-0800 (PST),488
Fri Feb 12 2016 00:02:49 GMT-0800 (PST),491
Fri Feb 12 2016 10:27:03 GMT-0800 (PST),492
Fri Feb 12 2016 11:25:16 GMT-0800 (PST),493
Fri Feb 12 2016 11:25:18 GMT-0800 (PST),494
Fri Feb 12 2016 11:25:19 GMT-0800 (PST),495
Fri Feb 12 2016 12:09:22 GMT-0800 (PST),515
Fri Feb 12 2016 12:53:18 GMT-0800 (PST),516
Fri Feb 12 2016 13:19:24 GMT-0800 (PST),517
Fri Feb 12 2016 17:54:52 GMT-0800 (PST),518
Fri Feb 12 2016 21:47:14 GMT-0800 (PST),519
Sat Feb 13 2016 16:22:40 GMT-0800 (PST),520
Sat Feb 13 2016 16:24:53 GMT-0800 (PST),521
Sat Feb 13 2016 16:38:42 GMT-0800 (PST),522
Sat Feb 13 2016 18:20:47 GMT-0800 (PST),523
Sun Feb 14 2016 08:25:38 GMT-0800 (PST),524
Sun Feb 14 2016 08:34:27 GMT-0800 (PST),525
Sun Feb 14 2016 09:04:40 GMT-0800 (PST),526
Sun Feb 14 2016 09:04:42 GMT-0800 (PST),527
Sun Feb 14 2016 09:04:43 GMT-0800 (PST),528
Sun Feb 14 2016 09:04:46 GMT-0800 (PST),529
Sun Feb 14 2016 09:04:47 GMT-0800 (PST),530
Sun Feb 14 2016 09:04:49 GMT-0800 (PST),531
Sun Feb 14 2016 09:04:50 GMT-0800 (PST),532
Sun Feb 14 2016 09:05:23 GMT-0800 (PST),533
Sun Feb 14 2016 09:05:23 GMT-0800 (PST),536
Sun Feb 14 2016 14:59:01 GMT-0800 (PST),537
Sun Feb 14 2016 15:01:25 GMT-0800 (PST),540
Sun Feb 14 2016 15:04:17 GMT-0800 (PST),543
Sun Feb 14 2016 17:05:22 GMT-0800 (PST),544
Sun Feb 14 2016 17:43:53 GMT-0800 (PST),545
Sun Feb 14 2016 17:43:55 GMT-0800 (PST),546
Sun Feb 14 2016 18:25:51 GMT-0800 (PST),547
Sun Feb 14 2016 21:06:49 GMT-0800 (PST),548
Sun Feb 14 2016 23:23:26 GMT-0800 (PST),549
Mon Feb 15 2016 00:16:34 GMT-0800 (PST),550
Mon Feb 15 2016 05:57:03 GMT-0800 (PST),551
Mon Feb 15 2016 06:35:04 GMT-0800 (PST),552
Mon Feb 15 2016 09:06:54 GMT-0800 (PST),553
Mon Feb 15 2016 12:09:33 GMT-0800 (PST),554
Mon Feb 15 2016 15:48:03 GMT-0800 (PST),555
Mon Feb 15 2016 15:48:06 GMT-0800 (PST),556
Mon Feb 15 2016 15:48:10 GMT-0800 (PST),557
Mon Feb 15 2016 15:48:11 GMT-0800 (PST),558
Mon Feb 15 2016 15:48:16 GMT-0800 (PST),559
Mon Feb 15 2016 15:48:17 GMT-0800 (PST),560
Mon Feb 15 2016 15:56:50 GMT-0800 (PST),561
Mon Feb 15 2016 17:03:38 GMT-0800 (PST),562
Mon Feb 15 2016 22:13:21 GMT-0800 (PST),563
Tue Feb 16 2016 00:48:04 GMT-0800 (PST),564
Tue Feb 16 2016 09:09:14 GMT-0800 (PST),565
Tue Feb 16 2016 09:20:18 GMT-0800 (PST),566
Tue Feb 16 2016 09:21:20 GMT-0800 (PST),567
Tue Feb 16 2016 09:45:46 GMT-0800 (PST),568
Tue Feb 16 2016 10:46:36 GMT-0800 (PST),569
Tue Feb 16 2016 10:46:38 GMT-0800 (PST),570
Tue Feb 16 2016 10:46:55 GMT-0800 (PST),571
Tue Feb 16 2016 10:46:56 GMT-0800 (PST),572
Tue Feb 16 2016 10:46:58 GMT-0800 (PST),573
Tue Feb 16 2016 10:47:00 GMT-0800 (PST),574
Tue Feb 16 2016 10:47:01 GMT-0800 (PST),575
Tue Feb 16 2016 10:48:06 GMT-0800 (PST),576
Tue Feb 16 2016 11:01:43 GMT-0800 (PST),577
Tue Feb 16 2016 11:37:11 GMT-0800 (PST),578
Tue Feb 16 2016 11:45:23 GMT-0800 (PST),579
